"idbuy";"idinvestiment";"idperson";"idsgcompany";"qtdebuy";"dtbuy";"prcbuy";"tlbuy";"bprcaverage";"btptransaction";"btipe";"dtregister"
2;1;4;1;2;"2020-04-24";47.14;94.28;47.14;"C";"2";"2021-05-05 08:41:09"
3;3;4;1;2;"2020-04-24";46.98;93.96;46.98;"C";"2";"2021-05-05 08:41:58"
4;5;4;1;2;"2020-04-24";46.95;93.9;46.95;"C";"1";"2021-05-05 08:41:58"
5;7;5;2;2;"2020-04-27";16.45;32.9;16.45;"C";"2";"2021-05-05 08:41:58"
6;9;4;1;2;"2020-04-27";48.11;96.22;48.11;"C";"2";"2021-05-05 08:41:58"
7;11;4;1;2;"2020-04-27";48.54;97.08;48.54;"C";"2";"2021-05-05 08:41:58"
8;13;4;1;2;"2020-04-27";48.53;97.06;48.53;"C";"2";"2021-05-05 08:41:58"
9;15;3;3;2;"2020-04-27";11.63;23.26;11.63;"C";"1";"2021-05-05 08:41:58"
10;17;6;4;2;"2020-04-27";26.19;52.38;26.19;"C";"1";"2021-05-05 08:41:58"
11;19;6;4;2;"2020-04-27";25.59;51.18;25.59;"C";"1";"2021-05-05 08:41:58"
12;20;3;3;2;"2020-04-28";11.79;23.58;11.79;"C";"1";"2021-05-05 08:41:58"
13;22;7;5;2;"2020-04-28";18.09;36.18;18.09;"C";"1";"2021-05-05 08:41:58"
14;23;3;3;2;"2020-04-30";11.38;22.76;11.38;"C";"1";"2021-05-05 08:41:58"
15;26;4;1;1;"2020-05-05";51.77;51.77;51.77;"C";"1";"2021-05-05 08:41:58"
16;27;5;2;2;"2020-05-06";18.34;36.68;18.34;"C";"1";"2021-05-05 08:41:58"
17;28;7;5;2;"2020-05-06";18.74;37.48;18.74;"C";"1";"2021-05-05 08:41:58"
18;29;3;3;2;"2020-05-06";12.0;24.0;12.0;"C";"1";"2021-05-05 08:41:58"
19;30;5;2;2;"2020-05-06";18.28;36.56;18.28;"C";"2";"2021-05-05 08:41:58"
20;31;4;1;1;"2020-05-07";53.85;53.85;53.85;"C";"2";"2021-05-05 08:41:58"
21;32;5;2;2;"2020-05-07";18.22;36.44;18.22;"C";"2";"2021-05-05 08:41:58"
22;33;3;3;2;"2020-05-07";11.72;23.44;11.72;"C";"2";"2021-05-05 08:41:58"
23;34;3;3;2;"2020-05-07";11.53;23.06;11.53;"C";"1";"2021-05-05 08:41:58"
24;39;5;2;2;"2020-05-08";18.89;37.78;18.89;"C";"1";"2021-05-05 08:41:58"
25;40;3;3;2;"2020-05-08";11.8;23.6;11.8;"C";"1";"2021-05-05 08:41:58"
26;41;3;3;2;"2020-05-08";11.92;23.84;11.92;"C";"1";"2021-05-05 08:41:58"
27;42;4;1;1;"2020-05-08";55.7;55.7;55.7;"C";"2";"2021-05-05 08:41:58"
28;48;4;1;1;"2020-05-11";55.49;55.49;55.49;"C";"1";"2021-05-05 08:41:58"
29;49;3;3;2;"2020-05-11";12.21;24.42;12.21;"C";"1";"2021-05-05 08:41:58"
30;50;8;6;2;"2020-05-12";22.74;45.48;22.74;"C";"2";"2021-05-05 08:41:58"
31;51;8;6;2;"2020-05-12";22.3;44.6;22.3;"C";"2";"2021-05-05 08:41:58"
32;52;8;6;2;"2020-05-12";21.94;43.88;21.94;"C";"2";"2021-05-05 08:41:58"
33;53;4;1;1;"2020-05-12";54.99;54.99;54.99;"C";"2";"2021-05-05 08:41:58"
34;55;3;3;3;"2020-05-13";11.65;34.95;11.65;"C";"1";"2021-05-05 08:41:58"
35;56;8;6;2;"2020-05-15";22.97;45.94;22.97;"C";"2";"2021-05-05 08:41:58"
36;58;3;3;2;"2020-05-18";11.96;23.92;11.96;"C";"2";"2021-05-05 08:41:58"
37;59;3;3;2;"2020-05-18";12.39;24.78;12.39;"C";"2";"2021-05-05 08:41:58"
38;60;4;1;1;"2020-05-18";55.94;55.94;55.94;"C";"2";"2021-05-05 08:41:58"
39;61;4;1;1;"2020-05-18";55.61;55.61;55.61;"C";"1";"2021-05-05 08:41:58"
40;62;7;5;2;"2020-05-18";20.15;40.3;20.15;"C";"1";"2021-05-05 08:41:58"
41;63;7;5;2;"2020-05-18";19.99;39.98;19.99;"C";"1";"2021-05-05 08:41:58"
42;64;7;5;2;"2020-05-18";20.68;41.36;20.68;"C";"2";"2021-05-05 08:41:58"
43;70;9;7;2;"2020-05-19";13.76;27.52;13.76;"C";"1";"2021-05-05 08:41:58"
44;71;7;5;2;"2020-05-19";20.05;40.1;20.05;"C";"2";"2021-05-05 08:41:58"
45;72;7;5;2;"2020-05-19";20.07;40.14;20.07;"C";"2";"2021-05-05 08:41:58"
46;73;8;6;1;"2020-05-19";24.18;24.18;24.18;"C";"2";"2021-05-05 08:41:58"
47;74;8;6;2;"2020-05-19";23.84;47.68;23.84;"C";"2";"2021-05-05 08:41:58"
48;75;8;6;2;"2020-05-19";23.86;47.72;23.86;"C";"2";"2021-05-05 08:41:58"
49;76;9;7;1;"2020-05-19";14.42;14.42;14.42;"C";"1";"2021-05-05 08:41:58"
50;77;9;7;2;"2020-05-19";13.71;27.42;13.71;"C";"1";"2021-05-05 08:41:58"
51;78;3;3;1;"2020-05-19";12.14;12.14;12.14;"C";"1";"2021-05-05 08:41:58"
52;83;3;3;2;"2020-05-20";11.96;23.92;11.96;"C";"2";"2021-05-05 08:41:58"
53;84;4;1;1;"2020-05-20";57.48;57.48;57.48;"C";"1";"2021-05-05 08:41:58"
54;85;8;6;1;"2020-05-20";24.29;24.29;24.29;"C";"2";"2021-05-05 08:41:58"
55;86;8;6;2;"2020-05-20";23.73;47.46;23.73;"C";"2";"2021-05-05 08:41:58"
56;87;8;6;2;"2020-05-20";23.63;47.26;23.63;"C";"2";"2021-05-05 08:41:58"
57;88;5;2;1;"2020-05-20";20.16;20.16;20.16;"C";"1";"2021-05-05 08:41:58"
58;89;7;5;2;"2020-05-20";20.18;40.36;20.18;"C";"2";"2021-05-05 08:41:58"
59;90;7;5;1;"2020-05-20";19.55;19.55;19.55;"C";"2";"2021-05-05 08:41:58"
60;95;4;1;2;"2020-05-21";57.75;115.5;57.75;"C";"2";"2021-05-05 08:41:58"
61;96;8;6;2;"2020-05-21";23.35;46.7;23.35;"C";"2";"2021-05-05 08:41:58"
62;97;5;8;2;"2020-05-21";19.56;39.12;19.56;"C";"1";"2021-05-05 08:41:58"
63;98;5;8;2;"2020-05-21";19.3;38.6;19.3;"C";"1";"2021-05-05 08:41:58"
64;99;5;2;2;"2020-05-21";19.92;39.84;19.92;"C";"1";"2021-05-05 08:41:58"
65;100;10;9;1;"2020-05-21";6.52;6.52;6.52;"C";"1";"2021-05-05 08:41:58"
66;101;3;3;4;"2020-05-21";11.86;47.44;11.86;"C";"1";"2021-05-05 08:41:58"
67;102;3;3;1;"2020-05-21";11.82;11.82;11.82;"C";"1";"2021-05-05 08:41:58"
68;103;7;5;2;"2020-05-21";19.51;39.02;19.51;"C";"1";"2021-05-05 08:41:58"
69;104;7;5;2;"2020-05-21";19.15;38.3;19.15;"C";"1";"2021-05-05 08:41:58"
70;105;9;7;2;"2020-05-21";16.17;32.34;16.17;"C";"1";"2021-05-05 08:41:58"
