"idestoque";"idperson";"sgecompany";"qtdeestoque";"prcaverage";"dteregister"
1;4;"MGLU3";0;0.0;"2021-04-13 08:16:37"
2;5;"PETR3";0;0.0;"2021-04-13 08:53:41"
3;3;"ABEV3";0;0.0;"2021-04-13 09:48:26"
4;6;"SPRI3";0;0.0;"2021-04-13 09:50:09"
5;8;"ELET3";0;0.0;"2021-04-14 01:26:29"
6;7;"KLBN11";0;0.0;"2021-04-14 01:30:37"
7;9;"AZUL4";0;0.0;"2021-04-14 05:18:55"
8;10;"EMBR3";0;0.0;"2021-04-14 08:01:39"
9;11;"SUZB3";0;0.0;"2021-04-15 01:25:59"
10;5;"PETR4";0;0.0;"2021-04-15 01:40:22"
11;13;"SBSP3";0;0.0;"2021-04-15 01:58:37"
12;14;"JBSS3";0;0.0;"2021-04-15 02:36:17"
13;15;"COGN3";140;6.59;"2021-04-15 03:37:30"
14;16;"TPIS3";0;0.0;"2021-04-15 03:48:10"
15;17;"GOLL4";0;0.0;"2021-04-15 03:51:30"
16;18;"AMAR3";0;0.0;"2021-04-15 04:47:51"
17;19;"ETER3";0;0.0;"2021-04-15 08:01:01"
18;20;"LUPA3";0;0.0;"2021-04-15 08:11:36"
19;21;"VVAR3";73;17.27;"2021-04-15 08:25:50"
20;22;"TIET11";0;0.0;"2021-04-15 08:40:05"
21;23;"BBSE3";10;29.05;"2021-04-15 08:40:59"
22;24;"TAEE11";0;0.0;"2021-04-15 08:42:33"
23;24;"TAEE4";0;0.0;"2021-04-15 08:43:40"
24;26;"GUAR3";0;0.0;"2021-04-15 09:17:39"
25;27;"TOTS3";0;0.0;"2021-04-15 10:17:20"
26;24;"TAEE3";49;10.98;"2021-04-15 11:06:45"
