"idinvestiment";"iduser";"idperson";"idsgcompany";"dtbuy";"dtsell";"dtregister"
1;1;4;1;"2020-04-24";"2020-04-24";"2021-04-13 17:16:35"
3;1;4;1;"2020-04-24";"2020-04-24";"2021-04-13 17:18:48"
5;1;4;1;"2020-04-24";"2020-04-27";"2021-04-13 17:19:43"
7;1;5;2;"2020-04-27";"2020-04-27";"2021-04-13 17:53:40"
9;1;4;1;"2020-04-27";"2020-04-27";"2021-04-13 17:55:21"
11;1;4;1;"2020-04-27";"2020-04-27";"2021-04-13 17:56:17"
13;1;4;1;"2020-04-27";"2020-04-27";"2021-04-13 17:57:08"
15;1;3;3;"2020-04-27";"2020-04-27";"2021-04-13 18:48:26"
17;1;6;4;"2020-04-27";"2020-04-28";"2021-04-13 18:55:23"
19;1;6;4;"2020-04-27";"2020-11-28";"2021-04-13 19:31:55"
20;1;3;3;"2020-04-28";"2020-04-29";"2021-04-14 10:26:28"
22;1;7;5;"2020-04-28";"2021-05-05";"2021-04-14 10:30:37"
23;1;3;3;"2020-04-30";"2020-05-04";"2021-04-14 10:31:12"
26;1;4;1;"2020-05-05";"2020-05-06";"2021-04-14 11:24:18"
27;1;5;2;"2020-05-06";"2020-05-07";"2021-04-14 11:25:09"
28;1;7;5;"2020-05-06";"2020-05-07";"2021-04-14 11:25:54"
29;1;3;3;"2020-05-06";"2020-05-07";"2021-04-14 11:26:38"
30;1;5;2;"2020-05-06";"2020-05-08";"2021-04-14 11:27:12"
31;1;4;1;"2020-05-07";"2020-05-07";"2021-04-14 11:28:26"
32;1;5;2;"2020-05-07";"2020-05-08";"2021-04-14 11:29:31"
33;1;3;3;"2020-05-07";"2020-05-07";"2021-04-14 11:30:01"
34;1;3;3;"2020-05-07";"2020-05-08";"2021-04-14 11:30:25"
39;1;5;2;"2020-05-08";"2020-05-08";"2021-04-14 12:23:51"
40;1;3;3;"2020-05-08";"2020-05-08";"2021-04-14 12:24:26"
41;1;3;3;"2020-05-08";"2020-05-08";"2021-04-14 12:24:55"
42;1;4;1;"2020-05-08";"2020-05-12";"2021-04-14 12:25:51"
48;1;4;1;"2020-05-11";"2020-05-12";"2021-04-14 13:05:41"
49;1;3;3;"2020-05-11";"2020-05-18";"2021-04-14 13:06:35"
50;1;8;6;"2020-05-12";"2020-05-15";"2021-04-14 13:08:47"
51;1;8;6;"2020-05-12";"2020-05-15";"2021-04-14 13:09:33"
52;1;8;6;"2020-05-12";"2020-05-15";"2021-04-14 13:10:14"
53;1;4;1;"2020-05-12";"2020-05-18";"2021-04-14 13:14:01"
55;1;3;3;"2020-05-13";"2020-05-18";"2021-04-14 13:16:02"
56;1;8;6;"2020-05-15";"2020-05-18";"2021-04-14 13:16:44"
58;1;3;3;"2020-05-18";"2020-05-18";"2021-04-14 13:18:53"
59;1;3;3;"2020-05-18";"2020-05-18";"2021-04-14 13:19:19"
60;1;4;1;"2020-05-18";"2020-05-19";"2021-04-14 13:19:45"
61;1;4;1;"2020-05-18";"2020-05-19";"2021-04-14 13:20:16"
62;1;7;5;"2020-05-18";"2020-05-19";"2021-04-14 13:21:12"
63;1;7;5;"2020-05-18";"2020-05-19";"2021-04-14 13:21:40"
64;1;7;5;"2020-05-18";"2020-05-19";"2021-04-14 13:22:05"
70;1;9;7;"2020-05-19";"2020-05-20";"2021-04-14 14:18:54"
71;1;7;5;"2020-05-19";"2020-05-20";"2021-04-14 14:19:35"
72;1;7;5;"2020-05-19";"2020-05-20";"2021-04-14 14:19:58"
73;1;8;6;"2020-05-19";"2020-05-20";"2021-04-14 14:20:29"
74;1;8;6;"2020-05-19";"2020-05-20";"2021-04-14 14:21:01"
75;1;8;6;"2020-05-19";"2020-05-20";"2021-04-14 14:21:27"
76;1;9;7;"2020-05-19";"2020-05-20";"2021-04-14 14:22:12"
77;1;9;7;"2020-05-19";"2020-05-20";"2021-04-14 14:22:40"
78;1;3;3;"2020-05-19";"2020-05-20";"2021-04-14 14:23:00"
83;1;3;3;"2020-05-20";"2020-05-20";"2021-04-14 16:48:53"
84;1;4;1;"2020-05-20";"2020-05-21";"2021-04-14 16:49:19"
85;1;8;6;"2020-05-20";"2020-05-22";"2021-04-14 16:50:00"
86;1;8;6;"2020-05-20";"2020-05-22";"2021-04-14 16:50:26"
87;1;8;6;"2020-05-20";"2020-05-22";"2021-04-14 16:50:49"
88;1;5;2;"2020-05-20";"2020-05-25";"2021-04-14 16:52:14"
89;1;7;5;"2020-05-20";"2020-07-01";"2021-04-14 16:52:57"
90;1;7;5;"2020-05-20";"2020-07-01";"2021-04-14 16:53:18"
95;1;4;1;"2020-05-21";"2020-05-21";"2021-04-14 16:57:47"
96;1;8;6;"2020-05-21";"2020-05-20";"2021-04-14 16:58:23"
97;1;5;8;"2020-05-21";"2020-05-25";"2021-04-14 16:59:46"
98;1;5;8;"2020-05-21";"2020-05-25";"2021-04-14 17:00:10"
99;1;5;2;"2020-05-21";"2020-05-25";"2021-04-14 17:00:34"
100;1;10;9;"2020-05-21";"2020-05-25";"2021-04-14 17:01:39"
101;1;3;3;"2020-05-21";"2020-05-25";"2021-04-14 17:02:30"
102;1;3;3;"2020-05-21";"2020-05-25";"2021-04-14 17:02:51"
