"idsell";"idinvestiment";"idperson";"idsgcompany";"qtdesell";"dtsell";"prcsell";"tlsell";"sprcaverage";"tax";"lucre";"stptransaction";"stipe";"dtregister"
1;1;4;1;2;"2020-04-24";47.23;94.46;47.23;0.19;0.18;"V";"2";"2021-05-05 08:41:09"
2;3;4;1;2;"2020-04-24";47.28;94.56;47.28;0.64;0.6;"V";"2";"2021-05-05 08:41:58"
3;5;4;1;2;"2020-04-27";48.43;96.86;48.43;3.15;2.96;"V";"1";"2021-05-05 08:41:58"
4;7;5;2;2;"2020-04-27";16.5;33.0;16.5;0.3;0.1;"V";"2";"2021-05-05 08:41:58"
5;9;4;1;2;"2020-04-27";48.6;97.2;48.6;1.02;0.98;"V";"2";"2021-05-05 08:41:58"
6;11;4;1;2;"2020-04-27";48.75;97.5;48.75;0.43;0.42;"V";"2";"2021-05-05 08:41:58"
7;13;4;1;2;"2020-04-27";48.72;97.44;48.72;0.39;0.38;"V";"2";"2021-05-05 08:41:58"
8;15;3;3;2;"2020-04-27";11.69;23.38;11.69;0.52;0.12;"V";"1";"2021-05-05 08:41:58"
9;17;6;4;2;"2020-04-28";26.0;52.0;26.0;-0.73;-0.38;"V";"1";"2021-05-05 08:41:58"
10;19;6;4;2;"2020-11-28";10.51;21.02;10.51;-58.93;-30.16;"V";"1";"2021-05-05 08:41:58"
11;20;3;3;2;"2020-04-29";11.87;23.74;11.87;0.68;0.16;"V";"1";"2021-05-05 08:41:58"
12;22;7;5;2;"2021-05-05";18.74;37.48;18.74;3.59;1.3;"V";"1";"2021-05-05 08:41:58"
13;23;3;3;2;"2020-05-04";11.48;22.96;11.48;0.88;0.2;"V";"1";"2021-05-05 08:41:58"
14;26;4;1;1;"2020-05-06";53.46;53.46;53.46;3.26;1.69;"V";"1";"2021-05-05 08:41:58"
15;27;5;2;2;"2020-05-07";18.54;37.08;18.54;1.09;0.4;"V";"1";"2021-05-05 08:41:58"
16;28;7;5;2;"2020-05-07";19.55;39.1;19.55;4.32;1.62;"V";"1";"2021-05-05 08:41:58"
17;29;3;3;2;"2020-05-07";12.18;24.36;12.18;1.5;0.36;"V";"1";"2021-05-05 08:41:58"
18;30;5;2;2;"2020-05-08";18.85;37.7;18.85;3.12;1.14;"V";"2";"2021-05-05 08:41:58"
19;31;4;1;1;"2020-05-07";56.26;56.26;56.26;4.48;2.41;"V";"2";"2021-05-05 08:41:58"
20;32;5;2;2;"2020-05-08";18.85;37.7;18.85;3.46;1.26;"V";"2";"2021-05-05 08:41:58"
21;33;3;3;2;"2020-05-07";12.18;24.36;12.18;3.92;0.92;"V";"2";"2021-05-05 08:41:58"
22;34;3;3;2;"2020-05-08";11.92;23.84;11.92;3.38;0.78;"V";"1";"2021-05-05 08:41:58"
23;39;5;2;2;"2020-05-08";19.43;38.86;19.43;2.86;1.08;"V";"1";"2021-05-05 08:41:58"
24;40;3;3;2;"2020-05-08";12.03;24.06;12.03;1.95;0.46;"V";"1";"2021-05-05 08:41:58"
25;41;3;3;2;"2020-05-08";12.03;24.06;12.03;0.92;0.22;"V";"1";"2021-05-05 08:41:58"
26;42;4;1;1;"2020-05-12";56.39;56.39;56.39;1.24;0.69;"V";"2";"2021-05-05 08:41:58"
27;48;4;1;1;"2020-05-12";56.39;56.39;56.39;1.62;0.9;"V";"1";"2021-05-05 08:41:58"
28;49;3;3;2;"2020-05-18";12.18;24.36;12.18;-0.25;-0.06;"V";"1";"2021-05-05 08:41:58"
29;50;8;6;2;"2020-05-15";22.9;45.8;22.9;0.7;0.32;"V";"2";"2021-05-05 08:41:58"
30;51;8;6;2;"2020-05-15";22.9;45.8;22.9;2.69;1.2;"V";"2";"2021-05-05 08:41:58"
31;52;8;6;2;"2020-05-15";22.9;45.8;22.9;4.38;1.92;"V";"2";"2021-05-05 08:41:58"
32;53;4;1;1;"2020-05-18";56.24;56.24;56.24;2.27;1.25;"V";"2";"2021-05-05 08:41:58"
33;55;3;3;3;"2020-05-18";12.18;36.54;12.18;4.55;1.59;"V";"1";"2021-05-05 08:41:58"
34;56;8;6;2;"2020-05-18";23.27;46.54;23.27;1.31;0.6;"V";"2";"2021-05-05 08:41:58"
35;58;3;3;2;"2020-05-18";12.34;24.68;12.34;3.18;0.76;"V";"2";"2021-05-05 08:41:58"
36;59;3;3;2;"2020-05-18";12.34;24.68;12.34;-0.4;-0.1;"V";"2";"2021-05-05 08:41:58"
37;60;4;1;1;"2020-05-19";56.83;56.83;56.83;1.59;0.89;"V";"2";"2021-05-05 08:41:58"
38;61;4;1;1;"2020-05-19";56.83;56.83;56.83;2.19;1.22;"V";"1";"2021-05-05 08:41:58"
39;62;7;5;2;"2020-05-19";20.49;40.98;20.49;1.69;0.68;"V";"1";"2021-05-05 08:41:58"
40;63;7;5;2;"2020-05-19";20.55;41.1;20.55;2.8;1.12;"V";"1";"2021-05-05 08:41:58"
