Compra;;;;;Venda;;;;;
Empresa;Data;Qtd; Preço ; Total ;Data;Qtd;Preço; Total ; Lucro ;tx
MGLU3F;24/04/2020;2; R$ 47,14 ; R$ 94,28 ;24/04/2020;2; R$ 47,23 ; R$ 94,46 ; R$ 0,18 ;0,19%
MGLU3F;24/04/2020;2; R$ 46,98 ; R$ 93,96 ;24/04/2020;2; R$ 47,28 ; R$ 94,56 ; R$ 0,60 ;0,64%
MGLU3F;24/04/2020;2; R$ 46,95 ; R$ 93,90 ;27/04/2020;2; R$ 48,43 ; R$ 96,86 ; R$ 2,96 ;3,15%
ABEV3F;27/04/2020;2; R$ 11,63 ; R$ 23,26 ;27/04/2020;2; R$ 11,69 ; R$ 23,38 ; R$ 0,12 ;0,52%
MGLU3F;27/04/2020;2; R$ 48,11 ; R$ 96,22 ;27/04/2020;2; R$ 48,60 ; R$ 97,20 ; R$ 0,98 ;1,02%
MGLU3F;27/04/2020;2; R$ 48,54 ; R$ 97,08 ;27/04/2020;2; R$ 48,75 ; R$ 97,50 ; R$ 0,42 ;0,43%
MGLU3F;27/04/2020;2; R$ 48,53 ; R$ 97,06 ;27/04/2020;2; R$ 48,72 ; R$ 97,44 ; R$ 0,38 ;0,39%
PETR3F;27/04/2020;2; R$ 16,45 ; R$ 32,90 ;27/04/2020;2; R$ 16,50 ; R$ 33,00 ; R$ 0,10 ;0,30%
SPRI3F;27/04/2020;2; R$ 26,19 ; R$ 52,38 ;28/04/2020;2; R$ 26,00 ; R$ 52,00 ;-R$ 0,38 ;-0,73%
SPRI3F;27/04/2020;2; R$ 25,59 ; R$ 51,18 ;;2; R$ 10,51 ; R$ 21,02 ;-R$ 30,16 ;-58,93%
ABEV3F;28/04/2020;2; R$ 11,79 ; R$ 23,58 ;29/04/2020;2; R$ 11,87 ; R$ 23,74 ; R$ 0,16 ;0,68%
KLBN11F;28/04/2020;2; R$ 18,09 ; R$ 36,18 ;05/05/2020;2; R$ 18,74 ; R$ 37,48 ; R$ 1,30 ;3,59%
ABEV3F;30/04/2020;2; R$ 11,38 ; R$ 22,76 ;04/05/2020;2; R$ 11,48 ; R$ 22,96 ; R$ 0,20 ;0,88%
MGLU3F;05/05/2020;1; R$ 51,77 ; R$ 51,77 ;06/05/2021;1; R$ 53,46 ; R$ 53,46 ; R$ 1,69 ;3,26%
ABEV3F;06/05/2020;2; R$ 12,00 ; R$ 24,00 ;07/05/2020;2; R$ 12,18 ; R$ 24,36 ; R$ 0,36 ;1,50%
KLBN11F;06/05/2020;2; R$ 18,74 ; R$ 37,48 ;07/05/2020;2; R$ 19,55 ; R$ 39,10 ; R$ 1,62 ;4,32%
PETR3F;06/05/2020;2; R$ 18,34 ; R$ 36,68 ;07/05/2020;2; R$ 18,54 ; R$ 37,08 ; R$ 0,40 ;1,09%
PETR3F;06/05/2020;2; R$ 18,28 ; R$ 36,56 ;08/05/2020;2; R$ 18,85 ; R$ 37,70 ; R$ 1,14 ;3,12%
ABEV3F;07/05/2020;2; R$ 11,72 ; R$ 23,44 ;08/05/2020;2; R$ 11,92 ; R$ 23,84 ; R$ 0,40 ;1,71%
ABEV3F;07/05/2020;2; R$ 11,53 ; R$ 23,06 ;08/05/2020;2; R$ 11,92 ; R$ 23,84 ; R$ 0,78 ;3,38%
MGLU3F;07/05/2020;1; R$ 53,85 ; R$ 53,85 ;07/05/2020;1; R$ 56,26 ; R$ 56,26 ; R$ 2,41 ;4,48%
PETR3F;07/05/2020;2; R$ 18,22 ; R$ 36,44 ;08/05/2020;2; R$ 18,85 ; R$ 37,70 ; R$ 1,26 ;3,46%
ABEV3F;08/05/2020;2; R$ 11,80 ; R$ 23,60 ;08/05/2020;2; R$ 12,03 ; R$ 24,06 ; R$ 0,46 ;1,95%
ABEV3F;08/05/2020;2; R$ 11,92 ; R$ 23,84 ;08/05/2020;2; R$ 12,03 ; R$ 24,06 ; R$ 0,22 ;0,92%
MGLU3F;08/05/2020;1; R$ 55,70 ; R$ 55,70 ;12/05/2020;1; R$ 56,39 ; R$ 56,39 ; R$ 0,69 ;1,24%
PETR3F;08/05/2020;2; R$ 18,89 ; R$ 37,78 ;08/05/2020;2; R$ 19,43 ; R$ 38,86 ; R$ 1,08 ;2,86%
ABEV3F;11/05/2020;2; R$ 12,21 ; R$ 24,42 ;18/05/2020;2; R$ 12,18 ; R$ 24,36 ;-R$ 0,06 ;-0,25%
MGLU3F;11/05/2020;1; R$ 55,49 ; R$ 55,49 ;12/05/2020;1; R$ 56,39 ; R$ 56,39 ; R$ 0,90 ;1,62%
ELET3F;12/05/2020;2; R$ 22,74 ; R$ 45,48 ;15/05/2020;2; R$ 22,90 ; R$ 45,80 ; R$ 0,32 ;0,70%
ELET3F;12/05/2020;2; R$ 22,30 ; R$ 44,60 ;15/05/2020;2; R$ 22,90 ; R$ 45,80 ; R$ 1,20 ;2,69%
ELET3F;12/05/2020;2; R$ 21,94 ; R$ 43,88 ;15/05/2020;2; R$ 22,90 ; R$ 45,80 ; R$ 1,92 ;4,38%
MGLU3F;12/05/2020;1; R$ 54,99 ; R$ 54,99 ;18/05/2020;1; R$ 56,24 ; R$ 56,24 ; R$ 1,25 ;2,27%
ABEV3F;13/05/2020;3; R$ 11,65 ; R$ 34,95 ;18/05/2020;3; R$ 12,18 ; R$ 36,54 ; R$ 1,59 ;4,55%
ELET3F;15/05/2020;2; R$ 22,97 ; R$ 45,94 ;18/05/2020;2; R$ 23,27 ; R$ 46,54 ; R$ 0,60 ;1,31%
ABEV3F;18/05/2020;2; R$ 11,96 ; R$ 23,92 ;18/05/2020;2; R$ 12,34 ; R$ 24,68 ; R$ 0,76 ;3,18%
ABEV3F;18/05/2020;2; R$ 12,39 ; R$ 24,78 ;18/05/2020;2; R$ 12,34 ; R$ 24,68 ;-R$ 0,10 ;-0,40%
KLBN11F;18/05/2020;2; R$ 20,68 ; R$ 41,36 ;19/05/2021;2; R$ 20,49 ; R$ 40,98 ;-R$ 0,38 ;-0,92%
KLBN11F;18/05/2020;2; R$ 20,15 ; R$ 40,30 ;19/05/2020;2; R$ 20,49 ; R$ 40,98 ; R$ 0,68 ;1,69%
KLBN11F;18/05/2020;2; R$ 19,99 ; R$ 39,98 ;19/05/2020;2; R$ 20,55 ; R$ 41,10 ; R$ 1,12 ;2,80%
MGLU3F;18/05/2020;1; R$ 55,94 ; R$ 55,94 ;19/05/2020;1; R$ 56,83 ; R$ 56,83 ; R$ 0,89 ;1,59%
MGLU3F;18/05/2020;1; R$ 55,61 ; R$ 55,61 ;19/05/2020;1; R$ 56,83 ; R$ 56,83 ; R$ 1,22 ;2,19%
ABEV3F;19/05/2020;1; R$ 12,14 ; R$ 12,14 ;20/05/2020;1; R$ 12,13 ; R$ 12,13 ;-R$ 0,01 ;-0,08%
